, 2013-09-14, 2013-10-13, 2013-11-03, 2013-12-01, 2014-01-25, 2014-02-16, 2014-02-22_spb_city_champs, 2014-03-09, 2014-03-30, 2014-04-19_chronos_protocol, 2014-05-10_spb, 2014-05-11_team, 2014-05-31_spb_regionals, 2014-06-07_draft, 2014-06-15, 2014-07-05_msk_regional, 2014-07-28_spb, 2014-08-02, 2014-08-30, 2014-09-06_draft, 2014-10-04_national,
39, , , , , Гришин Виктор:971.989, Гришин Виктор:971.989, Володин Антон:990.030, Карташев Дмитрий:990.051, Обернихен Константин:987.512, Карташев Дмитрий:990.051, Яник Петр:991.095, Яник Петр:991.095, Анвартдинов Тимур:991.145, Шурыгин Егор:991.086, Анвартдинов Тимур:991.145, Кравченко Зевс:991.364, Яник Петр:991.095, Кравченко Зевс:991.364, Ефремов Александр:994.635, Ефремов Александр:994.635, Елисеев Борис:998.484,39
40, , , , , Ларин Филипп:963.113, Андреев Максим:968.164, Куклин Андрей:989.862, Володин Антон:990.030, Новикова Лилия:986.633, Куклин Андрей:989.862, Карташев Дмитрий:990.051, Карташев Дмитрий:990.051, Яник Петр:991.095, Карташев Дмитрий:990.051, Яник Петр:991.095, Анвартдинов Тимур:991.145, Карташев Дмитрий:990.051, Анвартдинов Тимур:991.145, Никитин Сергей:993.489, Никитин Сергей:993.489, Шурыгин Егор:996.969,40
41, , , , , Инина Марина:951.057, Ларин Филипп:963.113, Ярцев Александр:989.550, Куклин Андрей:989.862, Ковалев Александр:986.043, Обернихен Константин:987.512, Куклин Андрей:989.862, Куклин Андрей:989.862, Карташев Дмитрий:990.051, Куклин Андрей:989.862, Карташев Дмитрий:990.051, Яник Петр:991.095, Куклин Андрей:989.862, Яник Петр:991.095, Ярцев Александр:992.470, Шурыгин Егор:992.207, Амирханов Артем:994.969,41
42, , , , , , Инина Марина:951.057, Обернихен Константин:987.512, Ковалев Александр:988.879, Чепрасов Дмитрий:985.183, Чепрасов Дмитрий:985.183, Леонов Антон:989.246, Леонов Антон:989.246, Куклин Андрей:989.862, Пинчук Сергей:987.565, Куклин Андрей:989.862, Карташев Дмитрий:990.051, Елисеев Борис:989.013, Карташев Дмитрий:990.051, Кравченко Зевс:991.364, Кравченко Зевс:991.364, Ефремов Александр:994.635,42
43, , , , , , , Новикова Лилия:986.633, Обернихен Константин:987.512, Ярцев Александр:982.067, Полевиков Александр:984.614, Обернихен Константин:987.512, Пинчук Сергей:987.565, Пинчук Сергей:987.565, Обернихен Константин:987.512, Пинчук Сергей:987.565, Куклин Андрей:989.862, Обернихен Константин:987.512, Куклин Андрей:989.862, Анвартдинов Тимур:991.145, Анвартдинов Тимур:991.145, Никитин Сергей:993.489,43
44, , , , , , , Чепрасов Дмитрий:985.183, Новикова Лилия:986.633, Филиппов Александр:981.777, Ледовский Артур:982.313, Дынников Савел:986.179, Обернихен Константин:987.512, Обернихен Константин:987.512, Ковалев Александр:987.276, Обернихен Константин:987.512, Обернихен Константин:987.512, Полевиков Александр:987.059, Елисеев Борис:989.013, Яник Петр:991.095, Яник Петр:991.095, Кравченко Зевс:991.364,44
45, , , , , , , Филиппов Александр:981.777, Чепрасов Дмитрий:985.183, Павлов Алексей:981.125, Филиппов Александр:981.777, Чепрасов Дмитрий:985.183, Дынников Савел:986.179, Дынников Савел:986.179, Дынников Савел:986.179, Дынников Савел:986.179, Полевиков Александр:987.059, Дынников Савел:986.179, Шурыгин Егор:988.350, Карташев Дмитрий:990.051, Карташев Дмитрий:990.051, Анвартдинов Тимур:991.145,45
46, , , , , , , Павлов Алексей:981.125, Филиппов Александр:981.777, Малынич Александр:980.324, Павлов Алексей:981.125, Полевиков Александр:984.614, Чепрасов Дмитрий:985.183, Чепрасов Дмитрий:985.183, Чепрасов Дмитрий:985.183, Чепрасов Дмитрий:985.183, Дынников Савел:986.179, Селин Станислав:985.715, Обернихен Константин:987.512, Куклин Андрей:989.862, Куклин Андрей:989.862, Яник Петр:991.095,46
47, , , , , , , Малынич Александр:980.324, Павлов Алексей:981.125, Трескунов Игорь:980.303, Малынич Александр:980.324, Ледовский Артур:982.313, Полевиков Александр:984.614, Полевиков Александр:984.614, Полевиков Александр:984.614, Полевиков Александр:984.614, Чепрасов Дмитрий:985.183, Чепрасов Дмитрий:985.183, Полевиков Александр:987.059, Иванов Максим:989.521, Иванов Максим:989.521, Полевиков Александр:990.233,47
48, , , , , , , Трескунов Игорь:980.303, Малынич Александр:980.324, Бушмакин Евгений:980.198, Трескунов Игорь:980.303, Филиппов Александр:981.777, Ледовский Артур:982.313, Антонов Евгений:982.673, Ярцев Александр:984.305, Ярцев Александр:984.305, Ледовский Артур:982.313, Ледовский Артур:982.313, Дынников Савел:986.179, Обернихен Константин:987.512, Ярцев Александр:988.170, Карташев Дмитрий:990.051,48
